"","Time","Dedr","Age","Brt","Value","Claims"
"6461",1,1e+05,2.08,10.56,16.95,0
"6462",1,1e+05,2.64,10.53,16.65,0
"6463",1,1e+05,2.64,10.53,16.65,0
"6464",1,1e+05,2.71,10.53,16.62,0
"6465",1,75000,3.04,9.99,15.89,0
"6466",0.49,75000,3.09,10.06,15.89,0
"6467",1,75000,3,10.07,15.89,0
"6499",1,1e+05,1.95,10.22,16.73,0
"6500",1,1e+05,2.08,10.22,16.73,0
"6527",1,150000,2.83,10.06,16.45,0
"6528",1,150000,2.83,10.06,16.45,0
"6535",1,150000,3,10.52,17.11,0
"6538",1,250000,2.89,11.98,17.27,0
"6543",1,105000,3.18,10.01,16.02,0
"6569",1,250000,2.83,11.98,17.27,0
"6575",1,150000,3,10.49,17.11,0
"6670",0.17,5e+05,1.95,10.17,17.32,0
"6671",0.84,5e+05,1.95,10.17,17.32,0
"6690",0.66,2e+05,3.47,10.31,16.45,0
"6716",1,1e+05,3.14,8.26,15.61,0
"6717",0.17,5e+05,2.08,11.06,17.79,0
"6718",0.84,5e+05,2.08,11.06,17.79,0
"6729",0.17,5e+05,2.48,10.95,17.79,0
"6730",0.84,5e+05,2.48,10.95,17.79,0
"6738",0.41,1e+05,2.48,10.63,17.55,0
"6739",0.59,1e+05,2.48,10.63,16.85,0
"6740",0.41,1e+05,2.4,10.63,17.56,0
"6741",0.59,1e+05,2.4,10.63,16.85,0
"6742",1,1e+05,2.4,10.73,17.11,0
"6743",1,1e+05,2.4,10.73,17.12,0
"6745",0.18,1e+05,3.14,10.53,15.61,1
"6746",1,1e+05,3.09,10.01,15.98,0
"6747",1,1e+05,3,10,15.94,0
"6748",1,1e+05,3,10,15.94,0
"6749",1,1e+05,2.94,10.14,16.08,0
"6778",0.73,1e+05,2.94,10.15,16.12,0
"6779",1,1e+05,2.08,10.18,16.71,0
"6780",1,1e+05,3,10.06,15.89,0
"6781",1,1e+05,2.2,10.16,16.65,0
"6782",1,1e+05,2.08,10.16,16.71,0
"6783",1,1e+05,1.79,10.2,16.91,0
